true,pred,prob
2,1,"[0.004786968696862459, 0.7654008865356445, 0.2298121154308319]"
0,0,"[0.9974367022514343, 0.0019040022743865848, 0.0006593542639166117]"
1,1,"[9.451995257444765e-14, 1.0, 7.736219781443094e-16]"
1,0,"[0.7052955031394958, 0.29336440563201904, 0.0013399985618889332]"
1,1,"[2.89644827219937e-13, 1.0, 1.8596787927952982e-14]"
2,2,"[0.02294577658176422, 0.0011731524718925357, 0.9758811593055725]"
0,0,"[0.9989551305770874, 0.0010347500210627913, 1.0102527994604316e-05]"
2,2,"[0.03957205265760422, 0.0014415186597034335, 0.9589865207672119]"
1,1,"[7.499357038143195e-13, 1.0, 8.245670585129566e-14]"
2,2,"[0.0025960945058614016, 0.07981991022825241, 0.9175840020179749]"
0,0,"[0.9509409070014954, 0.007251402363181114, 0.041807811707258224]"
2,2,"[0.03656117618083954, 0.004599754698574543, 0.9588390588760376]"
0,1,"[0.3238455355167389, 0.4623708128929138, 0.2137836217880249]"
2,2,"[0.04442302882671356, 0.0004298315034247935, 0.9551470875740051]"
0,0,"[0.9615463018417358, 0.001307251281104982, 0.0371464341878891]"
2,2,"[0.06659486144781113, 0.14534057676792145, 0.7880645394325256]"
1,1,"[5.161015386757895e-13, 1.0, 1.68058525927393e-15]"
1,1,"[0.1124277338385582, 0.8875167965888977, 5.5506228818558156e-05]"
0,0,"[0.9881452322006226, 0.011854700744152069, 1.6907571875890426e-07]"
0,0,"[0.9980782270431519, 0.0019126401748508215, 9.140062502410728e-06]"
0,2,"[0.1292855590581894, 0.007853761315345764, 0.8628606796264648]"
1,1,"[0.21167299151420593, 0.784467339515686, 0.0038596633821725845]"
1,1,"[0.00581537839025259, 0.9895232319831848, 0.0046613384038209915]"
0,2,"[0.28752195835113525, 0.0029441744554787874, 0.7095339298248291]"
1,1,"[1.2626966843065743e-15, 1.0, 4.798275612305861e-22]"
2,2,"[0.019290825352072716, 0.0004893059376627207, 0.9802199006080627]"
1,1,"[2.3723369935169103e-09, 1.0, 3.7688499239865725e-13]"
0,0,"[0.9363671541213989, 0.06227555125951767, 0.0013573054457083344]"
1,1,"[1.2534147981677068e-12, 1.0, 2.6556241482404603e-17]"
0,2,"[0.15075528621673584, 0.0033309641294181347, 0.8459137082099915]"
0,0,"[0.9354526400566101, 0.0066726901568472385, 0.05787467211484909]"
0,1,"[0.06327588111162186, 0.9367209672927856, 3.1320296329795383e-06]"
0,0,"[0.9840326905250549, 0.01595968008041382, 7.652657586731948e-06]"
0,0,"[0.9265533089637756, 0.07343468815088272, 1.1882249964401126e-05]"
2,2,"[0.06749527156352997, 0.0001692706864560023, 0.9323354363441467]"
1,1,"[1.5547427789641688e-09, 1.0, 3.338739007485714e-11]"
0,0,"[0.9965704679489136, 0.0034275229554623365, 1.982130243050051e-06]"
0,1,"[0.1758839339017868, 0.8241018056869507, 1.431384589523077e-05]"
1,1,"[9.971769503874794e-13, 1.0, 2.0115209682387142e-14]"
1,1,"[0.18056730926036835, 0.8072735071182251, 0.012159185484051704]"
0,0,"[0.7247382402420044, 0.0013054353184998035, 0.2739563584327698]"
