true,pred,prob,path
2,2,"[0.009618117474019527, 0.41926661133766174, 0.571115255355835]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/125.hdf5
0,0,"[0.9998243451118469, 5.747939576394856e-05, 0.00011828168499050662]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3902.hdf5
1,1,"[6.333345368148002e-07, 0.9999994039535522, 1.4505594059244231e-08]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2072.hdf5
1,0,"[0.5881245732307434, 0.4100085198879242, 0.001866906532086432]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5488.hdf5
1,1,"[6.690706504741684e-05, 0.9999327659606934, 2.652229795785388e-07]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2194.hdf5
2,2,"[0.00611658813431859, 1.0530260624364018e-05, 0.993872880935669]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1163.hdf5
0,0,"[0.9964248538017273, 0.0035486528649926186, 2.6515848730923608e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3862.hdf5
2,2,"[0.0778450295329094, 0.0022139812353998423, 0.9199410080909729]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/238.hdf5
1,1,"[0.0005413534236140549, 0.9991471767425537, 0.0003114288847427815]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1948.hdf5
2,2,"[0.0003190738207194954, 0.015975723043084145, 0.9837051630020142]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/333.hdf5
0,0,"[0.952104926109314, 2.1263300368445925e-05, 0.047873880714178085]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3665.hdf5
2,2,"[0.002252567559480667, 5.890792817808688e-05, 0.9976885318756104]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1047.hdf5
0,0,"[0.9790236949920654, 0.003713364712893963, 0.01726292073726654]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4161.hdf5
2,2,"[0.002250415738672018, 6.955511253181612e-06, 0.9977426528930664]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/995.hdf5
0,0,"[0.9865715503692627, 1.4751093658560421e-05, 0.013413776643574238]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3966.hdf5
2,2,"[0.0002572675875853747, 0.014180565252900124, 0.9855620861053467]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/499.hdf5
1,1,"[1.306187277805293e-05, 0.9999812841415405, 5.617348506348208e-06]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1905.hdf5
1,1,"[0.1084575429558754, 0.8913785815238953, 0.00016383877664338797]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2625.hdf5
0,0,"[0.9989181756973267, 0.0009393551736138761, 0.0001425985392415896]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3925.hdf5
0,0,"[0.9993743300437927, 0.0003236669290345162, 0.00030202383641153574]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3385.hdf5
0,0,"[0.5297683477401733, 4.492132939049043e-05, 0.4701867401599884]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3041.hdf5
1,1,"[0.06812037527561188, 0.9310932159423828, 0.0007863538339734077]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5504.hdf5
